nw time nodes chromosome iteration
1 198902 1000 20000 10
2 126357 1000 20000 10
3 81177 1000 20000 10
4 61911 1000 20000 10
5 48422 1000 20000 10
6 40696 1000 20000 10
7 35175 1000 20000 10
8 30268 1000 20000 10
9 27008 1000 20000 10
10 24516 1000 20000 10
11 22535 1000 20000 10
12 21286 1000 20000 10
13 20236 1000 20000 10
14 20153 1000 20000 10
15 19059 1000 20000 10
16 16048 1000 20000 10
17 15998 1000 20000 10
18 14925 1000 20000 10
19 14480 1000 20000 10
20 13719 1000 20000 10
21 13149 1000 20000 10
22 12812 1000 20000 10
23 12579 1000 20000 10
24 11864 1000 20000 10
25 11619 1000 20000 10
26 12135 1000 20000 10
27 11481 1000 20000 10
28 10870 1000 20000 10
29 10735 1000 20000 10
30 10362 1000 20000 10
31 10346 1000 20000 10
32 9948 1000 20000 10
33 9987 1000 20000 10
34 9560 1000 20000 10
35 9607 1000 20000 10
36 9477 1000 20000 10
37 9301 1000 20000 10
38 9165 1000 20000 10
39 9244 1000 20000 10
40 8894 1000 20000 10
41 8944 1000 20000 10
42 8678 1000 20000 10
43 8500 1000 20000 10
44 8593 1000 20000 10
45 8345 1000 20000 10
46 8543 1000 20000 10
47 8553 1000 20000 10
48 8408 1000 20000 10
49 7942 1000 20000 10
50 8027 1000 20000 10
51 7853 1000 20000 10
52 7738 1000 20000 10
53 7937 1000 20000 10
54 7753 1000 20000 10
55 7671 1000 20000 10
56 7451 1000 20000 10
57 7584 1000 20000 10
58 7394 1000 20000 10
59 7386 1000 20000 10
60 7621 1000 20000 10
61 7190 1000 20000 10
62 7202 1000 20000 10
63 7351 1000 20000 10
64 7195 1000 20000 10
65 7489 1000 20000 10
66 7501 1000 20000 10
67 7395 1000 20000 10
68 7200 1000 20000 10
69 7195 1000 20000 10
70 7433 1000 20000 10
71 7069 1000 20000 10
72 7034 1000 20000 10
73 7016 1000 20000 10
74 7114 1000 20000 10
75 6968 1000 20000 10
76 6992 1000 20000 10
77 6954 1000 20000 10
78 6865 1000 20000 10
79 6810 1000 20000 10
80 6786 1000 20000 10
81 6810 1000 20000 10
82 6753 1000 20000 10
83 6744 1000 20000 10
84 6729 1000 20000 10
85 6610 1000 20000 10
86 6809 1000 20000 10
87 6581 1000 20000 10
88 6799 1000 20000 10
89 6569 1000 20000 10
90 6507 1000 20000 10
91 6594 1000 20000 10
92 6469 1000 20000 10
