nw time nodes chromosome iteration
1 490276 2000 20000 10
2 245726 2000 20000 10
3 173538 2000 20000 10
4 131030 2000 20000 10
5 104554 2000 20000 10
6 87325 2000 20000 10
7 74868 2000 20000 10
8 65642 2000 20000 10
9 58311 2000 20000 10
10 52460 2000 20000 10
11 47958 2000 20000 10
12 44395 2000 20000 10
13 40447 2000 20000 10
14 37779 2000 20000 10
15 35286 2000 20000 10
16 34217 2000 20000 10
17 31425 2000 20000 10
18 29555 2000 20000 10
19 28477 2000 20000 10
20 26700 2000 20000 10
21 26969 2000 20000 10
22 25111 2000 20000 10
23 24943 2000 20000 10
24 24027 2000 20000 10
25 23156 2000 20000 10
26 22643 2000 20000 10
27 21985 2000 20000 10
28 21439 2000 20000 10
29 20951 2000 20000 10
30 20514 2000 20000 10
31 22802 2000 20000 10
32 24709 2000 20000 10
33 24348 2000 20000 10
34 23728 2000 20000 10
35 23326 2000 20000 10
36 22662 2000 20000 10
37 22461 2000 20000 10
38 21708 2000 20000 10
39 21512 2000 20000 10
40 20798 2000 20000 10
41 20996 2000 20000 10
42 21120 2000 20000 10
43 20281 2000 20000 10
44 19804 2000 20000 10
45 19465 2000 20000 10
46 19159 2000 20000 10
47 18922 2000 20000 10
48 18627 2000 20000 10
49 18128 2000 20000 10
50 18525 2000 20000 10
51 17523 2000 20000 10
52 17599 2000 20000 10
53 17854 2000 20000 10
54 17233 2000 20000 10
55 16518 2000 20000 10
56 16870 2000 20000 10
57 16562 2000 20000 10
58 16084 2000 20000 10
59 16897 2000 20000 10
60 16119 2000 20000 10
61 15652 2000 20000 10
62 15824 2000 20000 10
63 16654 2000 20000 10
64 17691 2000 20000 10
65 17398 2000 20000 10
66 17244 2000 20000 10
67 17047 2000 20000 10
68 16992 2000 20000 10
69 16770 2000 20000 10
70 16671 2000 20000 10
71 16716 2000 20000 10
72 16416 2000 20000 10
73 16197 2000 20000 10
74 16062 2000 20000 10
75 16364 2000 20000 10
76 15713 2000 20000 10
77 15811 2000 20000 10
78 15675 2000 20000 10
79 15453 2000 20000 10
80 15413 2000 20000 10
81 15237 2000 20000 10
82 15083 2000 20000 10
83 15061 2000 20000 10
84 15030 2000 20000 10
85 15796 2000 20000 10
86 16085 2000 20000 10
87 16531 2000 20000 10
88 16210 2000 20000 10
89 16158 2000 20000 10
90 16132 2000 20000 10
91 16075 2000 20000 10
92 16096 2000 20000 10
93 16530 2000 20000 10
94 16085 2000 20000 10
95 16271 2000 20000 10
96 16737 2000 20000 10
97 16773 2000 20000 10
98 16603 2000 20000 10
99 16438 2000 20000 10
100 16213 2000 20000 10
101 15996 2000 20000 10
102 15907 2000 20000 10
103 15900 2000 20000 10
104 15969 2000 20000 10
105 15607 2000 20000 10
106 15563 2000 20000 10
107 15507 2000 20000 10
108 15177 2000 20000 10
109 15234 2000 20000 10
110 15588 2000 20000 10
111 15210 2000 20000 10
112 15248 2000 20000 10
113 15210 2000 20000 10
114 15234 2000 20000 10
115 14871 2000 20000 10
116 14835 2000 20000 10
117 14716 2000 20000 10
118 14777 2000 20000 10
119 14591 2000 20000 10
120 14432 2000 20000 10
121 14549 2000 20000 10
122 14586 2000 20000 10
123 14576 2000 20000 10
124 14421 2000 20000 10
125 14222 2000 20000 10
126 15152 2000 20000 10
127 17390 2000 20000 10
128 21955 2000 20000 10
129 21904 2000 20000 10
130 21927 2000 20000 10
131 21880 2000 20000 10
132 21783 2000 20000 10
133 21689 2000 20000 10
134 21830 2000 20000 10
135 21615 2000 20000 10
136 21712 2000 20000 10
137 21272 2000 20000 10
138 21455 2000 20000 10
139 21263 2000 20000 10
140 20957 2000 20000 10
141 20876 2000 20000 10
142 20892 2000 20000 10
143 20795 2000 20000 10
144 20589 2000 20000 10
145 20640 2000 20000 10
146 20525 2000 20000 10
147 20652 2000 20000 10
148 20335 2000 20000 10
149 20641 2000 20000 10
150 20113 2000 20000 10
151 19848 2000 20000 10
152 19787 2000 20000 10
153 19925 2000 20000 10
154 19952 2000 20000 10
155 19874 2000 20000 10
156 19359 2000 20000 10
157 19388 2000 20000 10
158 19128 2000 20000 10
159 19226 2000 20000 10
160 19190 2000 20000 10
161 19442 2000 20000 10
162 19109 2000 20000 10
163 19168 2000 20000 10
164 19212 2000 20000 10
165 19211 2000 20000 10
166 19034 2000 20000 10
167 18888 2000 20000 10
168 18828 2000 20000 10
169 18680 2000 20000 10
170 18865 2000 20000 10
171 18483 2000 20000 10
172 18509 2000 20000 10
173 18502 2000 20000 10
174 18430 2000 20000 10
175 18242 2000 20000 10
176 17925 2000 20000 10
177 18372 2000 20000 10
178 17833 2000 20000 10
179 17838 2000 20000 10
180 18278 2000 20000 10
181 18405 2000 20000 10
182 17904 2000 20000 10
183 17491 2000 20000 10
184 17405 2000 20000 10
185 18155 2000 20000 10
186 17871 2000 20000 10
187 17930 2000 20000 10
188 17657 2000 20000 10
189 17482 2000 20000 10
190 18037 2000 20000 10
191 20546 2000 20000 10
192 17238 2000 20000 10
193 17032 2000 20000 10
194 17220 2000 20000 10
195 17138 2000 20000 10
196 16560 2000 20000 10
197 16645 2000 20000 10
198 17342 2000 20000 10
199 16925 2000 20000 10
200 16679 2000 20000 10
201 16351 2000 20000 10
202 16280 2000 20000 10
203 16776 2000 20000 10
204 16996 2000 20000 10
205 16287 2000 20000 10
206 16371 2000 20000 10
207 16113 2000 20000 10
208 16633 2000 20000 10
209 15962 2000 20000 10
210 16166 2000 20000 10
211 15781 2000 20000 10
212 16085 2000 20000 10
213 16262 2000 20000 10
214 15783 2000 20000 10
215 15933 2000 20000 10
216 16404 2000 20000 10
217 16088 2000 20000 10
218 16731 2000 20000 10
219 17241 2000 20000 10
220 15447 2000 20000 10
221 15723 2000 20000 10
222 15390 2000 20000 10
223 17394 2000 20000 10
224 16452 2000 20000 10
225 16112 2000 20000 10
226 16645 2000 20000 10
227 16707 2000 20000 10
228 17612 2000 20000 10
229 15915 2000 20000 10
230 15863 2000 20000 10
231 15454 2000 20000 10
232 15207 2000 20000 10
233 15551 2000 20000 10
234 15045 2000 20000 10
235 15391 2000 20000 10
236 15876 2000 20000 10
237 16170 2000 20000 10
238 15801 2000 20000 10
239 15592 2000 20000 10
240 15681 2000 20000 10
241 16864 2000 20000 10
242 15394 2000 20000 10
243 14992 2000 20000 10
244 14775 2000 20000 10
245 15727 2000 20000 10
246 14556 2000 20000 10
247 14772 2000 20000 10
248 15211 2000 20000 10
249 14545 2000 20000 10
250 15057 2000 20000 10
