nw time nodes chromosome iteration
1 187322 1000 20000 10
2 95561 1000 20000 10
3 73400 1000 20000 10
4 55775 1000 20000 10
5 44804 1000 20000 10
6 37429 1000 20000 10
7 31961 1000 20000 10
8 28235 1000 20000 10
9 24883 1000 20000 10
10 22325 1000 20000 10
11 20298 1000 20000 10
12 19240 1000 20000 10
13 17420 1000 20000 10
14 16130 1000 20000 10
15 14890 1000 20000 10
16 14051 1000 20000 10
17 13199 1000 20000 10
18 12606 1000 20000 10
19 11953 1000 20000 10
20 11443 1000 20000 10
21 10939 1000 20000 10
22 11023 1000 20000 10
23 10618 1000 20000 10
24 10141 1000 20000 10
25 10087 1000 20000 10
26 9991 1000 20000 10
27 9569 1000 20000 10
28 9131 1000 20000 10
29 9278 1000 20000 10
30 8982 1000 20000 10
31 9330 1000 20000 10
32 10080 1000 20000 10
33 9788 1000 20000 10
34 9563 1000 20000 10
35 9343 1000 20000 10
36 9242 1000 20000 10
37 8985 1000 20000 10
38 9150 1000 20000 10
39 8945 1000 20000 10
40 8731 1000 20000 10
41 8513 1000 20000 10
42 8606 1000 20000 10
43 8383 1000 20000 10
44 8111 1000 20000 10
45 7973 1000 20000 10
46 7791 1000 20000 10
47 7622 1000 20000 10
48 7942 1000 20000 10
49 7800 1000 20000 10
50 7565 1000 20000 10
51 7501 1000 20000 10
52 7396 1000 20000 10
53 7359 1000 20000 10
54 7106 1000 20000 10
55 6849 1000 20000 10
56 7014 1000 20000 10
57 6860 1000 20000 10
58 6720 1000 20000 10
59 6853 1000 20000 10
60 6867 1000 20000 10
61 6776 1000 20000 10
62 6795 1000 20000 10
63 7001 1000 20000 10
64 7231 1000 20000 10
65 7163 1000 20000 10
66 7107 1000 20000 10
67 7041 1000 20000 10
68 7005 1000 20000 10
69 6929 1000 20000 10
70 6841 1000 20000 10
71 6878 1000 20000 10
72 6756 1000 20000 10
73 6685 1000 20000 10
74 6616 1000 20000 10
75 6627 1000 20000 10
76 6532 1000 20000 10
77 6543 1000 20000 10
78 6451 1000 20000 10
79 6430 1000 20000 10
80 6347 1000 20000 10
81 6344 1000 20000 10
82 6320 1000 20000 10
83 6306 1000 20000 10
84 6507 1000 20000 10
85 7484 1000 20000 10
86 7545 1000 20000 10
87 7713 1000 20000 10
88 7894 1000 20000 10
89 7914 1000 20000 10
90 7996 1000 20000 10
91 7974 1000 20000 10
92 7920 1000 20000 10
93 8092 1000 20000 10
94 7976 1000 20000 10
95 8052 1000 20000 10
96 8119 1000 20000 10
97 8027 1000 20000 10
98 8148 1000 20000 10
99 8012 1000 20000 10
100 8071 1000 20000 10
101 7999 1000 20000 10
102 7339 1000 20000 10
103 7284 1000 20000 10
104 7246 1000 20000 10
105 7128 1000 20000 10
106 7100 1000 20000 10
107 6808 1000 20000 10
108 6968 1000 20000 10
109 6866 1000 20000 10
110 6953 1000 20000 10
111 6828 1000 20000 10
112 6889 1000 20000 10
113 6822 1000 20000 10
114 6666 1000 20000 10
115 6642 1000 20000 10
116 6855 1000 20000 10
117 6745 1000 20000 10
118 6474 1000 20000 10
119 6469 1000 20000 10
120 6618 1000 20000 10
121 6437 1000 20000 10
122 6739 1000 20000 10
123 6565 1000 20000 10
124 6448 1000 20000 10
125 6297 1000 20000 10
126 6566 1000 20000 10
127 7656 1000 20000 10
128 9593 1000 20000 10
129 9621 1000 20000 10
130 9728 1000 20000 10
131 9853 1000 20000 10
132 9561 1000 20000 10
133 9662 1000 20000 10
134 9761 1000 20000 10
135 9961 1000 20000 10
136 9557 1000 20000 10
137 9294 1000 20000 10
138 9363 1000 20000 10
139 9210 1000 20000 10
140 9297 1000 20000 10
141 9277 1000 20000 10
142 9735 1000 20000 10
143 9328 1000 20000 10
144 9299 1000 20000 10
145 9193 1000 20000 10
146 9013 1000 20000 10
147 8985 1000 20000 10
148 8910 1000 20000 10
149 9220 1000 20000 10
150 8881 1000 20000 10
151 8938 1000 20000 10
152 8899 1000 20000 10
153 8949 1000 20000 10
154 8828 1000 20000 10
155 8624 1000 20000 10
156 8591 1000 20000 10
157 8455 1000 20000 10
158 8436 1000 20000 10
159 8560 1000 20000 10
160 8504 1000 20000 10
161 8314 1000 20000 10
162 8350 1000 20000 10
163 8365 1000 20000 10
164 8373 1000 20000 10
165 8513 1000 20000 10
166 8273 1000 20000 10
167 8504 1000 20000 10
168 8323 1000 20000 10
169 8154 1000 20000 10
170 8166 1000 20000 10
171 8109 1000 20000 10
172 8072 1000 20000 10
173 8341 1000 20000 10
174 8221 1000 20000 10
175 7996 1000 20000 10
176 8107 1000 20000 10
177 8097 1000 20000 10
178 8169 1000 20000 10
179 8091 1000 20000 10
180 7918 1000 20000 10
181 7957 1000 20000 10
182 8214 1000 20000 10
183 8003 1000 20000 10
184 7822 1000 20000 10
185 7861 1000 20000 10
186 7918 1000 20000 10
187 7991 1000 20000 10
188 7769 1000 20000 10
189 7768 1000 20000 10
190 7863 1000 20000 10
191 7820 1000 20000 10
192 7684 1000 20000 10
193 7614 1000 20000 10
194 7431 1000 20000 10
195 7824 1000 20000 10
196 7829 1000 20000 10
197 7493 1000 20000 10
198 7498 1000 20000 10
199 7564 1000 20000 10
200 7724 1000 20000 10
201 7785 1000 20000 10
202 7055 1000 20000 10
203 7050 1000 20000 10
204 7151 1000 20000 10
205 6883 1000 20000 10
206 7314 1000 20000 10
207 6968 1000 20000 10
208 7112 1000 20000 10
209 6925 1000 20000 10
210 7030 1000 20000 10
211 7178 1000 20000 10
212 6984 1000 20000 10
213 6957 1000 20000 10
214 7002 1000 20000 10
215 7234 1000 20000 10
216 6855 1000 20000 10
217 6897 1000 20000 10
218 6778 1000 20000 10
219 7071 1000 20000 10
220 7099 1000 20000 10
221 7102 1000 20000 10
222 6606 1000 20000 10
223 6994 1000 20000 10
224 6754 1000 20000 10
225 6803 1000 20000 10
226 6919 1000 20000 10
227 6805 1000 20000 10
228 6581 1000 20000 10
229 6877 1000 20000 10
230 6958 1000 20000 10
231 6779 1000 20000 10
232 6835 1000 20000 10
233 6977 1000 20000 10
234 6575 1000 20000 10
235 6577 1000 20000 10
236 6811 1000 20000 10
237 6810 1000 20000 10
238 6569 1000 20000 10
239 6430 1000 20000 10
240 6520 1000 20000 10
241 6706 1000 20000 10
242 6556 1000 20000 10
243 6843 1000 20000 10
244 6792 1000 20000 10
245 6800 1000 20000 10
246 6777 1000 20000 10
247 6739 1000 20000 10
248 6796 1000 20000 10
249 6719 1000 20000 10
250 6682 1000 20000 10
